"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0486","Otu0486",731,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0487","Otu0487",727,"Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus"
"Otu0488","Otu0488",724,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Otu0489","Otu0489",719,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Reyranellaceae","Reyranella"
"Otu0490","Otu0490",701,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0491","Otu0491",700,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0492","Otu0492",698,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0493","Otu0493",692,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacteriaceae_unclassified"
"Otu0494","Otu0494",685,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerosporobacter"
"Otu0495","Otu0495",684,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"Otu0496","Otu0496",680,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0497","Otu0497",677,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0498","Otu0498",674,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0499","Otu0499",674,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0500","Otu0500",669,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0501","Otu0501",664,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Otu0502","Otu0502",661,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0503","Otu0503",657,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"Otu0504","Otu0504",655,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0505","Otu0505",644,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0506","Otu0506",639,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0507","Otu0507",638,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Howardella"
"Otu0508","Otu0508",630,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu0509","Otu0509",625,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
"Otu0510","Otu0510",621,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrionaceae_unclassified"
"Otu0511","Otu0511",619,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
